OPTIMAL PATH REPORT
==================================================
Total Days Simulated: 201
Final Location: Gotoh

Day   0 | Kukuroo_Mountain | 📜 Accepted Contract 33 (Deadline: Day 172)
Day 119 | Nen_Island      | 📜 Accepted Contract 14 (Deadline: Day 139)
Day 119 | Nen_Island      | 📜 Accepted Contract 16 (Deadline: Day 149)
Day 140 | Nen_Island      | ❌ Contract 14 FAILED (Deadline missed)
Day 141 | Nen_Island      | 📜 Accepted Contract 50 (Deadline: Day 49)
Day 141 | Nen_Island      | ❌ Contract 50 FAILED (Deadline missed)
Day 142 | Nen_Island      | 📜 Accepted Contract 12 (Deadline: Day 122)
Day 142 | Nen_Island      | ❌ Contract 12 FAILED (Deadline missed)
Day 143 | Nen_Island      | 📜 Accepted Contract 34 (Deadline: Day 100)
Day 143 | Nen_Island      | ❌ Contract 34 FAILED (Deadline missed)
Day 144 | Nen_Island      | 📜 Accepted Contract 8 (Deadline: Day 73)
Day 144 | Nen_Island      | ❌ Contract 8 FAILED (Deadline missed)
Day 145 | Nen_Island      | 📜 Accepted Contract 13 (Deadline: Day 59)
Day 145 | Nen_Island      | ❌ Contract 13 FAILED (Deadline missed)
Day 146 | Nen_Island      | 📜 Accepted Contract 46 (Deadline: Day 47)
Day 146 | Nen_Island      | ❌ Contract 46 FAILED (Deadline missed)
Day 147 | Nen_Island      | 📜 Accepted Contract 40 (Deadline: Day 33)
Day 147 | Nen_Island      | ❌ Contract 40 FAILED (Deadline missed)
Day 148 | Nen_Island      | 📜 Accepted Contract 2 (Deadline: Day 43)
Day 148 | Nen_Island      | ❌ Contract 2 FAILED (Deadline missed)
Day 149 | Nen_Island      | 📜 Accepted Contract 41 (Deadline: Day 87)
Day 149 | Nen_Island      | ❌ Contract 41 FAILED (Deadline missed)
Day 150 | Nen_Island      | 📜 Accepted Contract 45 (Deadline: Day 65)
Day 150 | Nen_Island      | ❌ Contract 16 FAILED (Deadline missed)
Day 150 | Nen_Island      | ❌ Contract 45 FAILED (Deadline missed)
Day 151 | Nen_Island      | 📜 Accepted Contract 20 (Deadline: Day 62)
Day 151 | Nen_Island      | 📜 Accepted Contract 19 (Deadline: Day 41)
Day 151 | Nen_Island      | ❌ Contract 48 FAILED (Deadline missed)
Day 151 | Nen_Island      | ❌ Contract 20 FAILED (Deadline missed)
Day 151 | Nen_Island      | ❌ Contract 19 FAILED (Deadline missed)
Day 152 | Nen_Island      | 📜 Accepted Contract 36 (Deadline: Day 87)
Day 152 | Nen_Island      | 📜 Accepted Contract 43 (Deadline: Day 113)
Day 152 | Nen_Island      | 📜 Accepted Contract 10 (Deadline: Day 28)
Day 152 | Nen_Island      | ❌ Contract 36 FAILED (Deadline missed)
Day 152 | Nen_Island      | ❌ Contract 43 FAILED (Deadline missed)
Day 152 | Nen_Island      | ❌ Contract 10 FAILED (Deadline missed)
Day 153 | Nen_Island      | 📜 Accepted Contract 42 (Deadline: Day 58)
Day 153 | Nen_Island      | 📜 Accepted Contract 7 (Deadline: Day 40)
Day 153 | Nen_Island      | 📜 Accepted Contract 28 (Deadline: Day 43)
Day 153 | Nen_Island      | ❌ Contract 42 FAILED (Deadline missed)
Day 153 | Nen_Island      | ❌ Contract 7 FAILED (Deadline missed)
Day 153 | Nen_Island      | ❌ Contract 28 FAILED (Deadline missed)
Day 154 | Nen_Island      | 📜 Accepted Contract 1 (Deadline: Day 55)
Day 154 | Nen_Island      | 📜 Accepted Contract 49 (Deadline: Day 87)
Day 154 | Nen_Island      | 📜 Accepted Contract 26 (Deadline: Day 106)
Day 154 | Nen_Island      | ❌ Contract 1 FAILED (Deadline missed)
Day 154 | Nen_Island      | ❌ Contract 49 FAILED (Deadline missed)
Day 154 | Nen_Island      | ❌ Contract 26 FAILED (Deadline missed)
Day 155 | Nen_Island      | 📜 Accepted Contract 23 (Deadline: Day 28)
Day 155 | Nen_Island      | 📜 Accepted Contract 32 (Deadline: Day 67)
Day 155 | Nen_Island      | 📜 Accepted Contract 31 (Deadline: Day 35)
Day 155 | Nen_Island      | ❌ Contract 23 FAILED (Deadline missed)
Day 155 | Nen_Island      | ❌ Contract 32 FAILED (Deadline missed)
Day 155 | Nen_Island      | ❌ Contract 31 FAILED (Deadline missed)
Day 159 | Nen_Island      | ❌ Contract 17 FAILED (Deadline missed)
Day 160 | Nen_Island      | Traveling to Gotoh (1/9)
Day 161 | Nen_Island      | Traveling to Gotoh (2/9)
Day 162 | Nen_Island      | Traveling to Gotoh (3/9)
Day 163 | Nen_Island      | Traveling to Gotoh (4/9)
Day 164 | Nen_Island      | Traveling to Gotoh (5/9)
Day 165 | Nen_Island      | Traveling to Gotoh (6/9)
Day 166 | Nen_Island      | Traveling to Gotoh (7/9)
Day 167 | Nen_Island      | Traveling to Gotoh (8/9)
Day 168 | Nen_Island      | Traveling to Gotoh (9/9)
Day 169 | Gotoh           | Executing Contract 3 (1/24)
Day 170 | Gotoh           | Executing Contract 3 (2/24)
Day 171 | Gotoh           | Executing Contract 3 (3/24)
Day 172 | Gotoh           | Executing Contract 3 (4/24)
Day 173 | Gotoh           | Executing Contract 3 (5/24)
Day 174 | Gotoh           | Executing Contract 3 (6/24)
Day 175 | Gotoh           | Executing Contract 3 (7/24)
Day 176 | Gotoh           | Executing Contract 3 (8/24)
Day 177 | Gotoh           | Executing Contract 3 (9/24)
Day 178 | Gotoh           | Executing Contract 3 (10/24)
Day 179 | Gotoh           | Executing Contract 3 (11/24)
Day 180 | Gotoh           | Executing Contract 3 (12/24)
Day 181 | Gotoh           | Executing Contract 3 (13/24)
Day 182 | Gotoh           | Executing Contract 3 (14/24)
Day 183 | Gotoh           | Executing Contract 3 (15/24)
Day 184 | Gotoh           | Executing Contract 3 (16/24)
Day 185 | Gotoh           | Executing Contract 3 (17/24)
Day 186 | Gotoh           | Executing Contract 3 (18/24)
Day 187 | Gotoh           | Executing Contract 3 (19/24)
Day 188 | Gotoh           | Executing Contract 3 (20/24)
Day 189 | Gotoh           | Executing Contract 3 (21/24)
Day 190 | Gotoh           | Executing Contract 3 (22/24)
Day 191 | Gotoh           | Executing Contract 3 (23/24)
Day 192 | Gotoh           | Executing Contract 3 (24/24)
Day 193 | Gotoh           | ✅ Contract 3 COMPLETED. Earned 1498 gold. Skill +2.70
